X	Y	Predichos	Varianza
464351.30203182	6184907.96293256	278.083593525741	3686.51462439039
314351.30203182	6194907.96293256	173.114360994806	6968.78430058501
324351.30203182	6194907.96293256	175.322223296304	6842.9875329526
334351.30203182	6194907.96293256	174.82602130246	6811.04895714125
344351.30203182	6194907.96293256	172.203585177988	6770.31358403596
354351.30203182	6194907.96293256	168.13381767592	6637.23008004978
364351.30203182	6194907.96293256	163.397300458361	6377.3486207061
374351.30203182	6194907.96293256	159.192489511573	6026.2866629416
384351.30203182	6194907.96293256	157.19841794692	5678.93232819921
394351.30203182	6194907.96293256	159.316180583966	5364.92089415223
404351.30203182	6194907.96293256	163.036132892278	4941.9180949198
414351.30203182	6194907.96293256	169.452738420132	4351.02663215809
424351.30203182	6194907.96293256	183.089211815627	4086.37540542707
434351.30203182	6194907.96293256	205.568153112259	4333.91097128135
444351.30203182	6194907.96293256	229.252035015795	4347.27920923565
454351.30203182	6194907.96293256	250.08436664407	4133.48036995881
464351.30203182	6194907.96293256	268.232285991777	4212.45011727535
314351.30203182	6204907.96293256	157.198434924309	7035.39029543415
324351.30203182	6204907.96293256	165.678417475697	6884.59983766733
334351.30203182	6204907.96293256	165.355441437265	6803.91389237906
344351.30203182	6204907.96293256	162.855899913848	6681.3271784134
354351.30203182	6204907.96293256	158.429995642465	6421.19207937267
364351.30203182	6204907.96293256	152.533052682504	5962.86500646794
374351.30203182	6204907.96293256	146.592261082989	5353.09196296027
384351.30203182	6204907.96293256	144.262668358907	4885.71494653173
394351.30203182	6204907.96293256	149.559476346101	4867.21325510137
404351.30203182	6204907.96293256	159.669428302359	5020.57837781035
414351.30203182	6204907.96293256	172.392220073102	5042.42838799819
424351.30203182	6204907.96293256	188.071391588193	4994.65601073557
434351.30203182	6204907.96293256	206.724970068899	4888.89603879104
444351.30203182	6204907.96293256	226.192114718491	4517.8944387114
454351.30203182	6204907.96293256	244.604244472493	3913.09296606048
464351.30203182	6204907.96293256	262.520876731281	3757.11894717244
474351.30203182	6204907.96293256	278.36923515969	4138.91594668602
484351.30203182	6204907.96293256	292.016079969942	4007.65442967386
494351.30203182	6204907.96293256	300.729009302869	2896.90681313553
504351.30203182	6204907.96293256	308.686943838171	2139.39884782867
514351.30203182	6204907.96293256	319.848114121624	2244.6005727844
314351.30203182	6214907.96293256	150.591627434735	6742.69701738729
324351.30203182	6214907.96293256	153.309336825609	6646.0953210117
334351.30203182	6214907.96293256	157.488266785796	6609.64385036072
344351.30203182	6214907.96293256	154.976227709413	6495.24999557567
354351.30203182	6214907.96293256	150.20891117697	6164.4754157512
364351.30203182	6214907.96293256	142.93099282602	5487.79830148754
374351.30203182	6214907.96293256	133.492822346913	4377.29588497912
384351.30203182	6214907.96293256	127.450396094172	3325.98276966907
394351.30203182	6214907.96293256	138.610127201482	3882.94436234538
404351.30203182	6214907.96293256	157.000291384624	4813.38093703832
414351.30203182	6214907.96293256	174.88170204072	5281.26427299345
424351.30203182	6214907.96293256	192.117041292474	5366.85249953489
434351.30203182	6214907.96293256	209.213989774585	5114.61326276041
444351.30203182	6214907.96293256	226.029806622349	4374.27277667472
454351.30203182	6214907.96293256	241.031059083004	2858.37341459234
464351.30203182	6214907.96293256	259.06924435814	2190.54349009901
474351.30203182	6214907.96293256	280.13139488551	3682.09017473068
484351.30203182	6214907.96293256	298.015726501684	3974.64616954952
494351.30203182	6214907.96293256	311.626500322003	3405.01650683073
504351.30203182	6214907.96293256	320.67850678439	2919.56857270276
514351.30203182	6214907.96293256	326.335016198026	2563.97110213711
314351.30203182	6224907.96293256	137.576466607946	6015.39321485213
324351.30203182	6224907.96293256	148.117614448289	6106.44214934218
334351.30203182	6224907.96293256	148.27840427084	6257.62161512783
344351.30203182	6224907.96293256	146.64416310997	6266.27616908689
354351.30203182	6224907.96293256	144.656231806471	5979.73423018382
364351.30203182	6224907.96293256	137.745615317717	5246.02637436797
374351.30203182	6224907.96293256	127.00051713805	3814.9789890967
384351.30203182	6224907.96293256	111.582845693244	1328.13454328074
394351.30203182	6224907.96293256	134.708850407554	3203.53865343856
404351.30203182	6224907.96293256	159.63723666296	4699.75169402741
414351.30203182	6224907.96293256	179.460177041527	5361.06978217001
424351.30203182	6224907.96293256	197.084847541169	5499.20592081621
434351.30203182	6224907.96293256	210.750348485228	5225.11550321312
444351.30203182	6224907.96293256	226.486796899282	4480.3851007946
454351.30203182	6224907.96293256	242.855615644018	3214.20539143968
464351.30203182	6224907.96293256	262.514494774565	2769.17111841018
474351.30203182	6224907.96293256	286.49091037111	3767.41651158017
484351.30203182	6224907.96293256	309.193326030807	3907.8401951389
494351.30203182	6224907.96293256	326.789051092674	2933.70487951643
504351.30203182	6224907.96293256	335.676395884043	1986.39138560469
514351.30203182	6224907.96293256	333.570378005948	3233.27406165788
524351.30203182	6224907.96293256	331.349731416053	4094.67024814277
314351.30203182	6234907.96293256	135.564777285635	4795.56655883239
324351.30203182	6234907.96293256	138.990683568274	5246.60488340563
334351.30203182	6234907.96293256	143.747660619706	5788.7837037903
