ID	Xt	Yt	GUSg10	CATGUSg10	GUSg40	CATGUSg40
261	316851.302	6137407.963	2.58388389227037	Moderado	4.13953700604314	Muy alto
262	319351.302	6137407.963	2.55251879833173	Moderado	4.08928824391979	Muy alto
263	321851.302	6137407.963	2.51880078290914	Moderado	4.03526996042428	Muy alto
264	324351.302	6137407.963	2.48451895943178	Moderado	3.98034842260143	Alto
265	326851.302	6137407.963	2.44832842309754	Moderado	3.92236901227564	Alto
266	329351.302	6137407.963	2.42009951809236	Moderado	3.87714461296785	Alto
267	331851.302	6137407.963	2.39546170229047	Moderado	3.83767335399793	Alto
268	334351.302	6137407.963	2.38077144923669	Moderado	3.81413868731798	Alto
269	336851.302	6137407.963	2.3670942177847	Moderado	3.79222694201663	Alto
270	339351.302	6137407.963	2.35108968561662	Moderado	3.76658672135023	Alto
271	341851.302	6137407.963	2.35247312102528	Moderado	3.76880306786902	Alto
272	344351.302	6137407.963	2.35204951166224	Moderado	3.76812442025655	Alto
273	346851.302	6137407.963	2.35010906926188	Moderado	3.76501571512145	Alto
274	349351.302	6137407.963	2.35399941663856	Moderado	3.771248285006	Alto
275	351851.302	6137407.963	2.36215923458614	Moderado	3.78432080287634	Alto
276	354351.302	6137407.963	2.37616866423834	Moderado	3.80676474962344	Alto
277	356851.302	6137407.963	2.39684360144447	Moderado	3.83988723934461	Alto
278	359351.302	6137407.963	2.4280961382704	Moderado	3.88995567822094	Alto
279	361851.302	6137407.963	2.45415126690766	Moderado	3.93169755737959	Alto
280	364351.302	6137407.963	2.4754139838444	Moderado	3.96576170549088	Alto
281	366851.302	6137407.963	2.49998170042588	Moderado	4.00512066130436	Muy alto
282	369351.302	6137407.963	2.50192479587746	Moderado	4.00823361678666	Muy alto
283	371851.302	6137407.963	2.47636434205013	Moderado	3.96728423634971	Alto
284	374351.302	6137407.963	2.44713283535897	Moderado	3.92045360899357	Alto
285	376851.302	6137407.963	2.45199922901288	Moderado	3.92824986356854	Alto
286	379351.302	6137407.963	2.46393723387994	Moderado	3.94737526354234	Alto
287	381851.302	6137407.963	2.43655206704091	Moderado	3.90350258339369	Alto
288	384351.302	6137407.963	2.4210449085588	Moderado	3.87865918521032	Alto
289	386851.302	6137407.963	2.44935630472618	Moderado	3.92401574030871	Alto
290	389351.302	6137407.963	2.44836225093397	Moderado	3.92242320649899	Alto
291	391851.302	6137407.963	2.43164431011165	Moderado	3.89564006237016	Alto
292	394351.302	6137407.963	2.40944585966717	Moderado	3.86007681304359	Alto
293	396851.302	6137407.963	2.35832764579936	Moderado	3.77818236777782	Alto
294	399351.302	6137407.963	2.29035547845401	Moderado	3.66928687794999	Alto
295	401851.302	6137407.963	2.24281307446054	Moderado	3.5931210946205	Alto
296	404351.302	6137407.963	2.20217964257217	Moderado	3.52802389908179	Alto
297	406851.302	6137407.963	2.16717855383445	Moderado	3.47195005516216	Alto
300	414351.302	6137407.963	2.10061024154263	Moderado	3.36530362534921	Alto
301	416851.302	6137407.963	2.09730782544511	Moderado	3.36001295664466	Alto
302	419351.302	6137407.963	2.10229692014658	Moderado	3.36800578565883	Alto
303	421851.302	6137407.963	2.10793818225632	Moderado	3.37704342598544	Alto
304	424351.302	6137407.963	2.12431023765173	Moderado	3.40327244091023	Alto
305	426851.302	6137407.963	2.14214139731034	Moderado	3.43183902839827	Alto
306	429351.302	6137407.963	2.16386492992893	Moderado	3.46664143087682	Alto
307	431851.302	6137407.963	2.18088368561541	Moderado	3.49390649846432	Alto
309	436851.302	6137407.963	2.17551054817544	Moderado	3.48529840994383	Alto
310	439351.302	6137407.963	2.14445299945402	Moderado	3.43554235370854	Alto
311	441851.302	6137407.963	2.09866336455012	Moderado	3.36218461161148	Alto
312	444351.302	6137407.963	2.06427101540465	Moderado	3.30708600503773	Alto
313	446851.302	6137407.963	2.05705051313969	Moderado	3.29551832724175	Alto
314	449351.302	6137407.963	2.06435020807513	Moderado	3.30721287644673	Alto
315	451851.302	6137407.963	2.06870051327736	Moderado	3.31418232636127	Alto
316	454351.302	6137407.963	2.0885012332648	Moderado	3.34590426765265	Alto
317	456851.302	6137407.963	2.1219898396648	Moderado	3.39955502413142	Alto
318	459351.302	6137407.963	2.13937433796677	Moderado	3.42740603333031	Alto
319	461851.302	6137407.963	2.1432436924326	Moderado	3.43360497131229	Alto
320	464351.302	6137407.963	2.1316497859694	Moderado	3.4150308376244	Alto
322	309351.302	6139907.963	2.6124720779909	Moderado	4.18533699461065	Muy alto
323	311851.302	6139907.963	2.62208675802059	Moderado	4.20074028881563	Muy alto
324	314351.302	6139907.963	2.61989186624061	Moderado	4.19722394050963	Muy alto
325	316851.302	6139907.963	2.60015513370677	Moderado	4.16560451095762	Muy alto
326	319351.302	6139907.963	2.56876853325575	Moderado	4.11532129411124	Muy alto
327	321851.302	6139907.963	2.53448569055689	Moderado	4.06039812343442	Muy alto
328	324351.302	6139907.963	2.49290053903467	Moderado	3.99377621594736	Alto
329	326851.302	6139907.963	2.45167077789341	Moderado	3.92772366517093	Alto
330	329351.302	6139907.963	2.41946854764401	Moderado	3.87613376045685	Alto
331	331851.302	6139907.963	2.38992587230231	Moderado	3.82880462225512	Alto
332	334351.302	6139907.963	2.36991670042463	Moderado	3.79674872853028	Alto
333	336851.302	6139907.963	2.34952594559781	Moderado	3.76408151602925	Alto
334	339351.302	6139907.963	2.32980666513593	Moderado	3.73249004574349	Alto
335	341851.302	6139907.963	2.32820699878314	Moderado	3.72992728428022	Alto
336	344351.302	6139907.963	2.32625603345709	Moderado	3.72680172078688	Alto
337	346851.302	6139907.963	2.31707162636727	Moderado	3.71208774964422	Alto
338	349351.302	6139907.963	2.32268246488521	Moderado	3.72107664955161	Alto
339	351851.302	6139907.963	2.33609696906055	Moderado	3.74256748999443	Alto
340	354351.302	6139907.963	2.35089209370699	Moderado	3.7662701672572	Alto
341	356851.302	6139907.963	2.36586946734445	Moderado	3.79026481833694	Alto
342	359351.302	6139907.963	2.39722701238665	Moderado	3.84050148667531	Alto
343	361851.302	6139907.963	2.4238384070143	Moderado	3.88313453732172	Alto
344	364351.302	6139907.963	2.4423345554522	Moderado	3.91276647672773	Alto
345	366851.302	6139907.963	2.468703217597	Moderado	3.95501065537476	Alto
346	369351.302	6139907.963	2.47692930269058	Moderado	3.96818933718845	Alto
347	371851.302	6139907.963	2.46594756364907	Moderado	3.95059593243484	Alto
348	374351.302	6139907.963	2.45266781412535	Moderado	3.92932097702803	Alto
349	376851.302	6139907.963	2.44012894084809	Moderado	3.9092329498142	Alto
350	379351.302	6139907.963	2.42965536821443	Moderado	3.89245365813155	Alto
351	381851.302	6139907.963	2.41405496868221	Moderado	3.86746088219224	Alto
352	384351.302	6139907.963	2.40889473569023	Moderado	3.85919387936987	Alto
353	386851.302	6139907.963	2.42984766435509	Moderado	3.89276172808498	Alto
354	389351.302	6139907.963	2.425544819775	Moderado	3.88586831293432	Alto
355	391851.302	6139907.963	2.4127007369642	Moderado	3.86529132173783	Alto
356	394351.302	6139907.963	2.38094746168855	Moderado	3.81442066982509	Alto
358	399351.302	6139907.963	2.26469809872806	Moderado	3.62818221640872	Alto
359	401851.302	6139907.963	2.22129771056252	Moderado	3.55865219092062	Alto
361	406851.302	6139907.963	2.15543603813781	Moderado	3.45313784056704	Alto
362	409351.302	6139907.963	2.12859615216057	Moderado	3.4101387330711	Alto
363	411851.302	6139907.963	2.11995508120691	Moderado	3.39629521901401	Alto
364	414351.302	6139907.963	2.10223487805672	Moderado	3.36790639050889	Alto
366	419351.302	6139907.963	2.10408416814153	Moderado	3.37086906416612	Alto
367	421851.302	6139907.963	2.11034295683573	Moderado	3.38089601912728	Alto
368	424351.302	6139907.963	2.12759456409736	Moderado	3.40853412890724	Alto
369	426851.302	6139907.963	2.14534897149013	Moderado	3.43697775466093	Alto
370	429351.302	6139907.963	2.16701506268114	Moderado	3.47168813252652	Alto
371	431851.302	6139907.963	2.18015622160621	Moderado	3.49274105748005	Alto
372	434351.302	6139907.963	2.17514665678428	Moderado	3.48471543410487	Alto
373	436851.302	6139907.963	2.15370436261676	Moderado	3.45036359249681	Alto
374	439351.302	6139907.963	2.11206728424516	Moderado	3.38365849508188	Alto
375	441851.302	6139907.963	2.05989116265682	Moderado	3.30006921818253	Alto
376	444351.302	6139907.963	2.02920116952255	Moderado	3.25090200804799	Alto
378	449351.302	6139907.963	2.03675118737519	Moderado	3.26299758958351	Alto
379	451851.302	6139907.963	2.029245528128	Moderado	3.25097307319505	Alto
380	454351.302	6139907.963	2.04568045608806	Moderado	3.27730281374021	Alto
382	459351.302	6139907.963	2.11247311838832	Moderado	3.38430866572574	Alto
383	461851.302	6139907.963	2.13419398046506	Moderado	3.41910678983604	Alto
384	464351.302	6139907.963	2.13072886746059	Moderado	3.41355547092615	Alto
386	309351.302	6142407.963	2.63444979510105	Moderado	4.22054661589355	Muy alto
387	311851.302	6142407.963	2.6558085137103	Moderado	4.25476456444345	Muy alto
388	314351.302	6142407.963	2.65519096013892	Moderado	4.25377520657424	Muy alto
